,label,body_text,body_text_clean,body_text_tokenized,body_text_nonstop,body_text_stemmed,body_text_lemmatized
0,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",Go until jurong point crazy Available only in bugis n great world la e buffet Cine there got amore wat,"['Go', 'until', 'jurong', 'point', 'crazy', 'Available', 'only', 'in', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'Cine', 'there', 'got', 'amore', 'wat']","['Go', 'jurong', 'point', 'crazy', 'Available', 'bugis', 'n', 'great', 'world', 'la', 'e', 'buffet', 'Cine', 'got', 'amore', 'wat']","['Go', 'jurong', 'point', 'crazi', 'avail', 'bugi', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amor', 'wat']","['Go', 'jurong', 'point', 'crazi', 'avail', 'bugi', 'n', 'great', 'world', 'la', 'e', 'buffet', 'cine', 'got', 'amor', 'wat']"
1,ham,Ok lar... Joking wif u oni...,Ok lar Joking wif u oni,"['Ok', 'lar', 'Joking', 'wif', 'u', 'oni']","['Ok', 'lar', 'Joking', 'wif', 'u', 'oni']","['Ok', 'lar', 'joke', 'wif', 'u', 'oni']","['Ok', 'lar', 'joke', 'wif', 'u', 'oni']"
2,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005 Text FA to 87121 to receive entry questionstd txt rateTCs apply 08452810075over18s,"['Free', 'entry', 'in', '2', 'a', 'wkly', 'comp', 'to', 'win', 'FA', 'Cup', 'final', 'tkts', '21st', 'May', '2005', 'Text', 'FA', 'to', '87121', 'to', 'receive', 'entry', 'questionstd', 'txt', 'rateTCs', 'apply', '08452810075over18s']","['Free', 'entry', '2', 'wkly', 'comp', 'win', 'FA', 'Cup', 'final', 'tkts', '21st', 'May', '2005', 'Text', 'FA', '87121', 'receive', 'entry', 'questionstd', 'txt', 'rateTCs', 'apply', '08452810075over18s']","['free', 'entri', '2', 'wkli', 'comp', 'win', 'FA', 'cup', 'final', 'tkt', '21st', 'may', '2005', 'text', 'FA', '87121', 'receiv', 'entri', 'questionstd', 'txt', 'ratetc', 'appli', '08452810075over18']","['free', 'entri', '2', 'wkli', 'comp', 'win', 'FA', 'cup', 'final', 'tkt', '21st', 'may', '2005', 'text', 'FA', '87121', 'receiv', 'entri', 'questionstd', 'txt', 'ratetc', 'appli', '08452810075over18']"
3,ham,U dun say so early hor... U c already then say...,U dun say so early hor U c already then say,"['U', 'dun', 'say', 'so', 'early', 'hor', 'U', 'c', 'already', 'then', 'say']","['U', 'dun', 'say', 'early', 'hor', 'U', 'c', 'already', 'say']","['U', 'dun', 'say', 'earli', 'hor', 'U', 'c', 'alreadi', 'say']","['U', 'dun', 'say', 'earli', 'hor', 'U', 'c', 'alreadi', 'say']"
4,ham,"Nah I don't think he goes to usf, he lives around here though",Nah I dont think he goes to usf he lives around here though,"['Nah', 'I', 'dont', 'think', 'he', 'goes', 'to', 'usf', 'he', 'lives', 'around', 'here', 'though']","['Nah', 'I', 'dont', 'think', 'goes', 'usf', 'lives', 'around', 'though']","['nah', 'I', 'dont', 'think', 'goe', 'usf', 'live', 'around', 'though']","['nah', 'I', 'dont', 'think', 'goe', 'usf', 'live', 'around', 'though']"
5,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv",FreeMsg Hey there darling its been 3 weeks now and no word back Id like some fun you up for it still Tb ok XxX std chgs to send £150 to rcv,"['FreeMsg', 'Hey', 'there', 'darling', 'its', 'been', '3', 'weeks', 'now', 'and', 'no', 'word', 'back', 'Id', 'like', 'some', 'fun', 'you', 'up', 'for', 'it', 'still', 'Tb', 'ok', 'XxX', 'std', 'chgs', 'to', 'send', '150', 'to', 'rcv']","['FreeMsg', 'Hey', 'darling', '3', 'weeks', 'word', 'back', 'Id', 'like', 'fun', 'still', 'Tb', 'ok', 'XxX', 'std', 'chgs', 'send', '150', 'rcv']","['freemsg', 'hey', 'darl', '3', 'week', 'word', 'back', 'Id', 'like', 'fun', 'still', 'Tb', 'ok', 'xxx', 'std', 'chg', 'send', '150', 'rcv']","['freemsg', 'hey', 'darl', '3', 'week', 'word', 'back', 'Id', 'like', 'fun', 'still', 'Tb', 'ok', 'xxx', 'std', 'chg', 'send', '150', 'rcv']"
6,ham,Even my brother is not like to speak with me. They treat me like aids patent.,Even my brother is not like to speak with me They treat me like aids patent,"['Even', 'my', 'brother', 'is', 'not', 'like', 'to', 'speak', 'with', 'me', 'They', 'treat', 'me', 'like', 'aids', 'patent']","['Even', 'brother', 'like', 'speak', 'They', 'treat', 'like', 'aids', 'patent']","['even', 'brother', 'like', 'speak', 'they', 'treat', 'like', 'aid', 'patent']","['even', 'brother', 'like', 'speak', 'they', 'treat', 'like', 'aid', 'patent']"
7,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,As per your request Melle Melle Oru Minnaminunginte Nurungu Vettam has been set as your callertune for all Callers Press 9 to copy your friends Callertune,"['As', 'per', 'your', 'request', 'Melle', 'Melle', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', 'has', 'been', 'set', 'as', 'your', 'callertune', 'for', 'all', 'Callers', 'Press', '9', 'to', 'copy', 'your', 'friends', 'Callertune']","['As', 'per', 'request', 'Melle', 'Melle', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', 'set', 'callertune', 'Callers', 'Press', '9', 'copy', 'friends', 'Callertune']","['As', 'per', 'request', 'mell', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', '9', 'copi', 'friend', 'callertun']","['As', 'per', 'request', 'mell', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', '9', 'copi', 'friend', 'callertun']"
8,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER As a valued network customer you have been selected to receivea £900 prize reward To claim call 09061701461 Claim code KL341 Valid 12 hours only,"['WINNER', 'As', 'a', 'valued', 'network', 'customer', 'you', 'have', 'been', 'selected', 'to', 'receivea', '900', 'prize', 'reward', 'To', 'claim', 'call', '09061701461', 'Claim', 'code', 'KL341', 'Valid', '12', 'hours', 'only']","['WINNER', 'As', 'valued', 'network', 'customer', 'selected', 'receivea', '900', 'prize', 'reward', 'To', 'claim', 'call', '09061701461', 'Claim', 'code', 'KL341', 'Valid', '12', 'hours']","['winner', 'As', 'valu', 'network', 'custom', 'select', 'receivea', '900', 'prize', 'reward', 'To', 'claim', 'call', '09061701461', 'claim', 'code', 'kl341', 'valid', '12', 'hour']","['winner', 'As', 'valu', 'network', 'custom', 'select', 'receivea', '900', 'prize', 'reward', 'To', 'claim', 'call', '09061701461', 'claim', 'code', 'kl341', 'valid', '12', 'hour']"
9,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more U R entitled to Update to the latest colour mobiles with camera for Free Call The Mobile Update Co FREE on 08002986030,"['Had', 'your', 'mobile', '11', 'months', 'or', 'more', 'U', 'R', 'entitled', 'to', 'Update', 'to', 'the', 'latest', 'colour', 'mobiles', 'with', 'camera', 'for', 'Free', 'Call', 'The', 'Mobile', 'Update', 'Co', 'FREE', 'on', '08002986030']","['Had', 'mobile', '11', 'months', 'U', 'R', 'entitled', 'Update', 'latest', 'colour', 'mobiles', 'camera', 'Free', 'Call', 'The', 'Mobile', 'Update', 'Co', 'FREE', '08002986030']","['had', 'mobil', '11', 'month', 'U', 'R', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'the', 'mobil', 'updat', 'Co', 'free', '08002986030']","['had', 'mobil', '11', 'month', 'U', 'R', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'the', 'mobil', 'updat', 'Co', 'free', '08002986030']"
10,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",Im gonna be home soon and i dont want to talk about this stuff anymore tonight k Ive cried enough today,"['Im', 'gonna', 'be', 'home', 'soon', 'and', 'i', 'dont', 'want', 'to', 'talk', 'about', 'this', 'stuff', 'anymore', 'tonight', 'k', 'Ive', 'cried', 'enough', 'today']","['Im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'k', 'Ive', 'cried', 'enough', 'today']","['Im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'ive', 'cri', 'enough', 'today']","['Im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'ive', 'cri', 'enough', 'today']"
11,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",SIX chances to win CASH From 100 to 20000 pounds txt CSH11 and send to 87575 Cost 150pday 6days 16 TsandCs apply Reply HL 4 info,"['SIX', 'chances', 'to', 'win', 'CASH', 'From', '100', 'to', '20000', 'pounds', 'txt', 'CSH11', 'and', 'send', 'to', '87575', 'Cost', '150pday', '6days', '16', 'TsandCs', 'apply', 'Reply', 'HL', '4', 'info']","['SIX', 'chances', 'win', 'CASH', 'From', '100', '20000', 'pounds', 'txt', 'CSH11', 'send', '87575', 'Cost', '150pday', '6days', '16', 'TsandCs', 'apply', 'Reply', 'HL', '4', 'info']","['six', 'chanc', 'win', 'cash', 'from', '100', '20000', 'pound', 'txt', 'csh11', 'send', '87575', 'cost', '150pday', '6day', '16', 'tsandc', 'appli', 'repli', 'HL', '4', 'info']","['six', 'chanc', 'win', 'cash', 'from', '100', '20000', 'pound', 'txt', 'csh11', 'send', '87575', 'cost', '150pday', '6day', '16', 'tsandc', 'appli', 'repli', 'HL', '4', 'info']"
12,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",URGENT You have won a 1 week FREE membership in our £100000 Prize Jackpot Txt the word CLAIM to No 81010 TC wwwdbuknet LCCLTD POBOX 4403LDNW1A7RW18,"['URGENT', 'You', 'have', 'won', 'a', '1', 'week', 'FREE', 'membership', 'in', 'our', '100000', 'Prize', 'Jackpot', 'Txt', 'the', 'word', 'CLAIM', 'to', 'No', '81010', 'TC', 'wwwdbuknet', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']","['URGENT', 'You', '1', 'week', 'FREE', 'membership', '100000', 'Prize', 'Jackpot', 'Txt', 'word', 'CLAIM', 'No', '81010', 'TC', 'wwwdbuknet', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']","['urgent', 'you', '1', 'week', 'free', 'membership', '100000', 'prize', 'jackpot', 'txt', 'word', 'claim', 'No', '81010', 'TC', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']","['urgent', 'you', '1', 'week', 'free', 'membership', '100000', 'prize', 'jackpot', 'txt', 'word', 'claim', 'No', '81010', 'TC', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']"
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,Ive been searching for the right words to thank you for this breather I promise i wont take your help for granted and will fulfil my promise You have been wonderful and a blessing at all times,"['Ive', 'been', 'searching', 'for', 'the', 'right', 'words', 'to', 'thank', 'you', 'for', 'this', 'breather', 'I', 'promise', 'i', 'wont', 'take', 'your', 'help', 'for', 'granted', 'and', 'will', 'fulfil', 'my', 'promise', 'You', 'have', 'been', 'wonderful', 'and', 'a', 'blessing', 'at', 'all', 'times']","['Ive', 'searching', 'right', 'words', 'thank', 'breather', 'I', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'You', 'wonderful', 'blessing', 'times']","['ive', 'search', 'right', 'word', 'thank', 'breather', 'I', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'you', 'wonder', 'bless', 'time']","['ive', 'search', 'right', 'word', 'thank', 'breather', 'I', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'you', 'wonder', 'bless', 'time']"
14,ham,I HAVE A DATE ON SUNDAY WITH WILL!!,I HAVE A DATE ON SUNDAY WITH WILL,"['I', 'HAVE', 'A', 'DATE', 'ON', 'SUNDAY', 'WITH', 'WILL']","['I', 'HAVE', 'A', 'DATE', 'ON', 'SUNDAY', 'WITH', 'WILL']","['I', 'have', 'A', 'date', 'ON', 'sunday', 'with', 'will']","['I', 'have', 'A', 'date', 'ON', 'sunday', 'with', 'will']"
